鄉鎮市長一覽表,,,,,,,,,,,,,,
選舉年,市縣別,鄉鎮市,機關別,姓     名,職稱,性別,黨籍,辦公地址,辦公電話,電子信箱,學   歷,簡    歷,布落格,連結網頁
099第十六屆各鄉鎮市長選舉,屏東縣,竹田鄉,屏東縣竹田鄉公所,陳　懋進,鄉長,男,民主進步黨,(911)屏東縣竹田鄉竹田村中正路123號,(08)7712037,a003@mail.jutian.gov.tw,高職,竹田鄉民代表第17.18屆代表,,無
099第十六屆各鄉鎮市長選舉,屏東縣,新埤鄉,屏東縣新埤鄉公所,何　耀榮,鄉長,男,中國國民黨,(925)屏東縣新埤鄉新埤村中正路40號,(08)7973800,b17@mail.shinpi;.gov.tw,陸官畢業,第13、15、16屆鄉長,,新埤鄉公所
099第十六屆各鄉鎮市長選舉,屏東縣,枋寮鄉,屏東縣枋寮鄉公所,林　豐精,鄉長,男,無政黨,(940)屏東縣枋寮鄉枋寮村德興路36號,08-8782012,flu99@mail.fanglian.gov.tw,二專畢業,1. 里港鄉民代表會秘書 2. 里港鄉第11、12屆鄉長 3. 屏東縣議會第14、15屆議員 4. 屏東縣政府行政處科長 5.屏東縣政府民政處兵役科長,,http://www.pthg.gov.tw/TownFto/Index.aspx
099第十六屆各鄉鎮市長選舉,屏東縣,新園鄉,屏東縣新園鄉公所,陳　武昌,鄉長,男,無政黨,(932)屏東縣新園鄉仙吉村仙吉村仙吉路148號,(08)8681001,s93@mail.shiyuan.gov.tw,國中畢,鄉民代表,,http://www.pthg.gov.tw/TownSyt/Index.aspx
099第十六屆各鄉鎮市長選舉,屏東縣,崁頂鄉,屏東縣崁頂鄉公所,林　家和,鄉長,男,無政黨,(924)屏東縣崁頂鄉崁頂村中正路230號,08-8631144,kd001@mail.kanding.gov.tw,屏東高工(初中部)畢,16.17.18屆崁頂村長,無,
099第十六屆各鄉鎮市長選舉,屏東縣,林邊鄉,屏東縣林邊鄉公所,鄭　信政,鄉長,男,無政黨,(927)屏東縣林邊鄉仁和村中山路279號,08-8755123,chenghsincheng@yahoo.com.tw,陸軍軍官學校正46期畢業,林邊鄉國際獅子會會長 林邊鄉體育會理事長 林邊鄉生活美學會理事長 林邊鄉輔導中心主任,無,http://www.pthg.gov.tw/
099第十六屆各鄉鎮市長選舉,屏東縣,南州鄉,屏東縣南州鄉公所,吳　永基,鄉長,男,無政黨,(926)屏東縣南州鄉仁里村仁里路11號,08-8642555,無,南州國中畢,第16屆南州鄉民代表會副主席、第17屆南州鄉民代表會主席、第15屆南州鄉長,無,http://www.nanchoue.gov.tw
099第十六屆各鄉鎮市長選舉,屏東縣,佳冬鄉,屏東縣佳冬鄉公所,賴　清華,鄉長,男,民主進步黨,(931)屏東縣佳冬鄉佳冬村佳昌路2號,(08)8662417,otcer@mail.jiadung.gov.tw,佳冬農校畢業,佳冬鄉民代表會 代表,http://www.pthg.gov.tw/TownJto/Index.aspx,http://www.pthg.gov.tw/TownJto
099第十六屆各鄉鎮市長選舉,屏東縣,琉球鄉,屏東縣琉球鄉公所,蔡天裕,鄉長,男,無政黨,(929)屏東縣琉球鄉中福村行政路12號,08-8612501,無,高職畢業,94年全國義消楷模鳯凰獎、 95年全國傑出漁民、屏東縣琉球鄉義勇消防隊分隊長、屏東縣漁民海難救助金管理委員會委員、台灣兩岸農漁業交流發展協會監事、屏東縣警察之友會東港辦事處副主任,無,無
099第十六屆各鄉鎮市長選舉,屏東縣,車城鄉,屏東縣車城鄉公所,林　錫章,鄉長,男,民主進步黨,(944)屏東縣車城鄉福興村中山路53號,08-8821071,mastar@mail.cheng.gov.tw,縣立恆春高中畢業,車城鄉第16屆鄉民代表會主席 車城鄉獅子會會長 車城鄉發展促進協會理事長 大山羊肉餐廳負責人 大山溫泉農場負責人,無,
099第十六屆各鄉鎮市長選舉,屏東縣,滿州鄉,屏東縣滿州鄉公所,熊　師範,鄉長,男,無政黨,(947)屏東縣滿州鄉滿州村中山路43號,08-8801105,manjhou2008@hotmail.com,私立東海大學政治系畢,滿州國中教師 丹鳳國中教師,http://www.manjhou.url.tw/homepage_1_head.html,http://www.manjhou.url.tw/
099第十六屆各鄉鎮市長選舉,屏東縣,枋山鄉,屏東縣枋山鄉公所,周　巧雲,鄉長,女,無政黨,(941)屏東縣枋山鄉枋山村枋山路82號,08-8761107,無,新竹光復中學畢業,枋山地區農會職員,無,無
099第十六屆各鄉鎮市長選舉,屏東縣,三地門鄉,屏東縣三地門鄉公所,潘　勝富,鄉長,男,,(901)屏東縣三地門鄉三地村中正路１００號,08-7991104,pan12192002@yahoo.com.tw,高雄工專,村幹事、民政課課長、觀光課課長、建設課課長、行政課課長,,
099第十六屆各鄉鎮市長選舉,屏東縣,霧臺鄉,屏東縣霧臺鄉公所,顏　金成,鄉長,男,中國國民黨,(902)屏東縣霧臺鄉霧台村神山巷73號,(08)7902234, ,國立台灣師範大學,一.國中教師組長主任 二.霧台鄉後備軍人輔導中心主任 三.霧台鄉義警大隊副隊長,,
099第十六屆各鄉鎮市長選舉,屏東縣,瑪家鄉,屏東縣瑪家鄉公所,陳　生明,鄉長,男,中國國民黨,(903)屏東縣瑪家鄉北葉村風景巷85號,08-7991922,chsm400317@yahoo.com.tw,國立屏東師範學院語文教育研究所,1.國小教師2.教務主任,無,無
099第十六屆各鄉鎮市長選舉,屏東縣,泰武鄉,屏東縣泰武鄉公所,孫　萬教,鄉長,男,無政黨,(921)屏東縣泰武鄉佳平村佳平村169號,08-7832435,p1@mail.taiyu.gov.tw,屏師院國民教育研究所結業,1.武潭國小教師兼主任。 2.泰武鄉第十五屆鄉長。,,
099第十六屆各鄉鎮市長選舉,屏東縣,來義鄉,屏東縣來義鄉公所,廖　志強,鄉長,男,無政黨,(922)屏東縣來義鄉古樓村中正路94號,(08)7850251,ochn@laiyi.gov.tw,專科,無,無,無
099第十六屆各鄉鎮市長選舉,屏東縣,春日鄉,屏東縣春日鄉公所,陳　昭忠,鄉長,男,中國國民黨,(942)屏東縣春日鄉春日村春日路322號,(08)8782145,bn1030@yahoo.com.tw,屏東師範學院,,,
099第十六屆各鄉鎮市長選舉,屏東縣,獅子鄉,屏東縣獅子鄉公所,孔　朝,鄉長,男,中國國民黨,(943)屏東縣獅子鄉楓林村2巷26號,(08)8771129, ,,,,
099第十六屆各鄉鎮市長選舉,屏東縣,牡丹鄉,屏東縣牡丹鄉公所,陳　英銘,鄉長,男,中國國民黨,(945)屏東縣牡丹鄉石門村石門路26號,(08)8831001,t435@hotmail.com,屏東師範學院畢業,1.石門國小教師服務29年 2.96/97年行政院原住民族委員會提升原住民資訊技能發展訓練計劃協同主持人、資訊與TQC講師,無,http://www.pthg.gov.tw/townmdt/Index.aspx
099第十六屆各鄉鎮市長選舉,台東縣,台東市,台東縣台東市公所,陳　建閣,市長,男,中國國民黨,(950)台東縣台東市文化里博愛路365號,089-325301,jacky@nt.taitungcity.gov.tw,淡江大學歐洲研究所法學碩士,臺東市市長,,http://www.taitungcity.gov.tw/
099第十六屆各鄉鎮市長選舉,台東縣,成功鎮,台東縣成功鎮公所,侯　武成,鎮長,男,無政黨,(961)台東縣成功鎮忠智里中山路176號,089-853521,chgcon01@nt.changkang.gov.tw,臺東縣成功鎮三民國小畢業。 臺東縣立新港國中畢業。 臺東私立東峯高中畢業。,第12、13、15、16屆成功鎮鎮長。 成功鎮鎮民代表。 成功鎮忠智里里長。 水利會代表。 三仙台青商會副會長。 獅子會會長。 臺東縣盆栽會會長。 家扶中心成功鎮召集委員。,,http://www.changkang.gov.tw/
099第十六屆各鄉鎮市長選舉,台東縣,關山鎮,台東縣關山鎮公所,黃　瑞華,鎮長,男,中國國民黨,(956)台東縣關山鎮中福里中山路54號,(089)810667,a01@kwanshan.gov.tw,關山工商職業學校,"關山鎮鎮長,關山鎮民代表會主席,台東縣農會常務監事,關山鎮農會理事長,月眉社區發展協會理事長,關山社區婦女防火宣導隊顧問團團長,關山義勇消防分隊顧問團副團長",,http://www.guanshan.gov.tw/page3.php
099第十六屆各鄉鎮市長選舉,台東縣,卑南鄉,台東縣卑南鄉公所,吳　信義,鄉長,男,中國國民黨,(954)台東縣卑南鄉太平村和平路111號,(089)381368＃201,wu-yi1@nt.beinan.gov.tw,育仁高中,救國團卑南鄉團委會常務委員 國際獅子會台東第一分會會長 初鹿國小、初鹿國中家長會會長 台東高商家長會副會長 中國國民黨卑南鄉黨部委員、常務委員、主任委員 警友會常務理事、卑南社教站委員 卑南鄉民代表會第十二屆代表、第十四、十五、十六、十七、十八屆主席,無,http://www.beinan.gov.tw/
099第十六屆各鄉鎮市長選舉,台東縣,鹿野鄉,台東縣鹿野鄉公所,林　金真,鄉長,男,中國國民黨,(955)台東縣鹿野鄉鹿野村鹿野村中華路2段139號,(089)552136＃63,Lyee02@mas1.gsn.gov.tw,台東中學關山分部,第15屆瑞豐村長 第15屆鹿野鄉代表會副主席 第16屆鹿野鄉代表,,http://www.lyee.gov.tw/page3.php
099第十六屆各鄉鎮市長選舉,台東縣,池上鄉,台東縣池上鄉公所,林　文堂,鄉長,男,中國國民黨,(958)台東縣池上鄉福原村中山路101號,089-862041,cs01@mail.cs.gov.tw,花蓮高中畢業,"池上鄉民代表會主席,代表",,http://www.cs.gov.tw/
099第十六屆各鄉鎮市長選舉,台東縣,東河鄉,台東縣東河鄉公所,陳　式鴻,鄉長,男,中國國民黨,(959)台東縣東河鄉東河村11鄰311號,089-896200,dher01@ms1.gsn.gov.tw,1.國立虎尾農工 2.憲兵學校3.警備學校研究,泰源職訓總隊隊長 台東師管區第三處副處長 東河鄉農會職員 東河鄉後備軍人輔導中心輔導員 東河鄉義消分隊幹事、分隊長,,
099第十六屆各鄉鎮市長選舉,台東縣,長濱鄉,台東縣長濱鄉公所,陳　德成,鄉長,男,無政黨,(962)台東縣長濱鄉長濱村長濱村4鄰9號,(089)832789,panaymic@yahoo.com.tw,高職肄業,曾任長濱鄉農會理事、長濱鄉鄉民代表第十五屆代表、第十六屆副主席、第十七屆代表主席、長濱鄉調解委員會委員、社區理事長,,
099第十六屆各鄉鎮市長選舉,台東縣,太麻里鄉,台東縣太麻里鄉公所,程　正俊,鄉長,男,中國國民黨,(963)台東縣太麻里鄉泰和村1 鄰北橋56號,089-781301,a001@nt.taimali.gov.tw,高職畢,鄉民代表主席,,http://www.taimali.gov.tw/
099第十六屆各鄉鎮市長選舉,台東縣,大武鄉,台東縣大武鄉公所,趙　宏翰,鄉長,男,,(965)台東縣大武鄉尚武村政通三街5號,089-791340, ,東方工商專科學校,（一）台東區漁會代表 （二）大武國小９７、９８學年度家長會長 （三）大武義警分隊書記,,
099第十六屆各鄉鎮市長選舉,台東縣,綠島鄉,台東縣綠島鄉公所,李　數奼,鄉長,女,中國國民黨,(951)台東縣綠島鄉南寮村194-1號,089-672537,gi2537@yahoo.com.tw,高職,紅頂商人胡雪巖研究班 　經濟部中小企業處台東縣 榮譽協進會會長 　綠島獅子會會長 　行政院南區婦女諮詢委員 　台東縣商業會理事 　台東縣觀光協會理事 　台東縣旅館公會常務理事 　綠島文教協進會理事長 　國際獅子會300F區專區 主席,,http://green.taitung.gov.tw/town/to_page1.asp
099第十六屆各鄉鎮市長選舉,台東縣,海端鄉,台東縣海端鄉公所,余　忠義,鄉長,男,中國國民黨,(957)台東縣海端鄉海端村山界43號,089-931370, ,,,,http://www.haiduau.gov.tw/index.php
099第十六屆各鄉鎮市長選舉,台東縣,延平鄉,台東縣延平鄉公所,胡　榮典,鄉長,男,中國國民黨,(953)台東縣延平鄉桃源村昇平路1號,089-561265,ja0409@ms25.hinet.net,台東師範學院初等教育學系教育學士學位畢業,台東縣武陵國小教師及主任12年，朗島國小主任1年，利稻國小主任3年，蘭嶼國小校長3年，加拿國小校長8年，桃源國小校長2年，延平鄉公所秘書2年，代理鄉長1年，現職延平鄉鄉長。,,www.ttypg.gov.tw
099第十六屆各鄉鎮市長選舉,台東縣,金峰鄉,台東縣金峰鄉公所,章　正輝,鄉長,男,中國國民黨,(964)台東縣金峰鄉嘉蘭村9鄰135號,(089)751144＃100,jfng01@ttjfng.gov.tw,國立臺灣大學政治系,台東縣金峰鄉第15屆鄉長,無,http://www.ttjfng.gov.tw/
099第十六屆各鄉鎮市長選舉,台東縣,達仁鄉,台東縣達仁鄉公所,王　光清,鄉長,男,中國國民黨,(966)台東縣達仁鄉安朔村復興路9鄰14號,089-702249,daren01@nt.ttdaren.gov.tw,中華警官學校警佐班結業,鄉長、祕書,,台東縣達仁鄉公所
099第十六屆各鄉鎮市長選舉,台東縣,蘭嶼鄉,台東縣蘭嶼鄉公所,江　多利,鄉長,男,中國國民黨,(952)台東縣蘭嶼鄉椰油村椰油295號,(089)732001＃100,v732110@ymail.com,高職畢,一、東清國小畢業、蘭嶼國中畢業。 二、陸軍第一士官學校第25期、海軍陸戰隊士校第22期畢業。 三、曾任東清發展協會理事長。 四、曾任蘭嶼生態保育協會理事長。 五、曾任蘭嶼中學家長會會長。 六、曾任蘭嶼鄉第14、15、16屆鄉民代表，第15屆鄉代會主席。 七、曾任台東縣第15、16屆縣議員。,無,無
099第十六屆各鄉鎮市長選舉,花蓮縣,花蓮市,花蓮縣花蓮市公所,田　智宣,市長,男,民主進步黨,(970)花蓮縣花蓮市國威里林森路252號,03-8320878,mayor@ems.hualien.gov.tw,東吳大學畢業,吉安鄉公所村幹事〈七十五年至八十三年〉 花蓮縣第十三、十四屆縣議員 花蓮縣第十四、十五屆吉安鄉鄉長,,http://www.hualien.gov.tw
099第十六屆各鄉鎮市長選舉,花蓮縣,鳳林鎮,花蓮縣鳳林鎮公所,彭　宗乾,鎮長,男,中國國民黨,(975)花蓮縣鳳林鎮光華路124號,03-8762771,chief@msa.fonglin.gov.tw,私立復興工業專科學校,曾任鳳林鎮公所民政課長、財政課長 鳳林鎮戶政事務所主任,,http://www.fonglin.gov.tw/
099第十六屆各鄉鎮市長選舉,花蓮縣,玉里鎮,花蓮縣玉里鎮公所,劉　德貞(女),鎮長,女,中國國民黨,(981)花蓮縣玉里鎮泰昌里中正路148號,(03)8883166,mayor@hlyl.gov.tw,國立東華大學公共行政研究所碩士,玉里鎮第16屆鎮民代表 玉里鎮第15屆鎮長 花蓮縣第15屆縣議員,,http://www.hlyl.gov.tw
099第十六屆各鄉鎮市長選舉,花蓮縣,新城鄉,花蓮縣新城鄉公所,錢　自立,鄉長,男,中國國民黨,(971)花蓮縣新城鄉大漢村光復路570號,(03)8267223,sb01@act.sinchen.gov.tw,陸軍官校,代表,,www.sinchen.gov.tw
099第十六屆各鄉鎮市長選舉,花蓮縣,吉安鄉,花蓮縣吉安鄉公所,黃　馨(女),鄉長,女,中國國民黨,(973)花蓮縣吉安鄉吉安路二段116號,(03)8523126,ak00@mail.ji-an.gov.tw,碩士,花蓮縣議會議員,,http://www.ji-an.gov.tw/
099第十六屆各鄉鎮市長選舉,花蓮縣,壽豐鄉,花蓮縣壽豐鄉公所,張　懷文,鄉長,女,中國國民黨,(974)花蓮縣壽豐鄉壽豐村壽山路26號,03-8652131,sf@ms.shoufeng.gov.tw,屏東慈惠護理助產學校 東華大學公共行政班結業,壽豐鄉民代表 花蓮縣議員 壽豐鄉第13.14屆鄉長,無,http://www.shoufeng.gov.tw
099第十六屆各鄉鎮市長選舉,花蓮縣,光復鄉,花蓮縣光復鄉公所,謝　忠淵,鄉長,男,無政黨,(976)花蓮縣光復鄉大華村中華路257號,03-8702206,guangfu163@nt.guangfu.idv.tw,高職,無,,http://www.guangfu.gov.tw/util/shleader.asp
099第十六屆各鄉鎮市長選舉,花蓮縣,豐濱鄉,花蓮縣豐濱鄉公所,劉　靜芳(女),鄉長,女,中國國民黨,(977)花蓮縣豐濱鄉豐濱村豐濱村光豐路32號,03-8791350,990301@nt.feng-bin.gov.tw,花蓮農校,花蓮縣豐濱鄉公所民政課課長 地政事務所會計(地政士國家考試及格) 花蓮縣豐濱鄉民代表會主席,,http://www.feng-bin.gov.tw/
099第十六屆各鄉鎮市長選舉,花蓮縣,瑞穗鄉,花蓮縣瑞穗鄉公所,許　榮盛,鄉長,男,中國國民黨,(978)花蓮縣瑞穗鄉瑞穗村成功南路19號,(03)8872222,juisui@nt.juisui.gov.tw,高農畢,"瑞穗鄉第11,12,15屆鄉長",,http://www.juisui.gov.tw/
099第十六屆各鄉鎮市長選舉,花蓮縣,富里鄉,花蓮縣富里鄉公所,黃　玲蘭(女),鄉長,女,中國國民黨,(983)花蓮縣富里鄉富里村中山路376號,(03)8831110＃177,910552822@fuli.gov.tw,高中,花蓮縣第16屆縣議員,,http://www.fuli.gov.tw/default.asp
099第十六屆各鄉鎮市長選舉,花蓮縣,秀林鄉,花蓮縣秀林鄉公所,許　淑銀(女),鄉長,女,中國國民黨,(972)花蓮縣秀林鄉秀林村秀林路62號,(03)8612023,shlin01@nt.shlin.gov.tw,銘傳大學,第14屆花蓮縣(市)議員 第15屆花蓮縣(市)議員 第15屆花蓮縣秀林鄉鄉長 第16屆花蓮縣秀林鄉鄉長,,http://www.shlin.gov.tw/
099第十六屆各鄉鎮市長選舉,花蓮縣,萬榮鄉,花蓮縣萬榮鄉公所,蘇　連進,鄉長,男,中國國民黨,(979)花蓮縣萬榮鄉萬榮村19號,(03)8751321＃10,sigai@ms.wanrung.gov.tw,,,,
099第十六屆各鄉鎮市長選舉,花蓮縣,卓溪鄉,花蓮縣卓溪鄉公所,蘇　正清,鄉長,男,中國國民黨,(982)花蓮縣卓溪鄉卓溪村中正路70號,(03)8883118＃11,bosss@mail.zhuo-xi.gov.tw,陸軍官校專修班,花蓮縣第十四屆、第十五屆議員,,www.zhuo-xi.gov.tw
099第十六屆各鄉鎮市長選舉,澎湖縣,馬公市,澎湖縣馬公市公所,蘇　崑雄,市長,男,中國國民黨,(880)澎湖縣馬公市西文里永福街30號,(06)9272173-201,boss@mail.mkcity.gov.tw,澎湖技術學院畢業,澎湖縣議會第12、13、14、15屆議員 澎湖縣議會第14屆議長 澎湖縣觀光協會理事長 澎湖縣中國童子軍會理事長 救國團澎湖縣團委會指導委員,,http://www.mkcity.gov.tw
099第十六屆各鄉鎮市長選舉,澎湖縣,湖西鄉,澎湖縣湖西鄉公所,陳　振中,鄉長,男,中國國民黨,(885)澎湖縣湖西鄉湖西村43-11號,06-9921318,hs001@mail.hs885.gov.tw,文化大學經濟系畢 中山大學公共事務碩士學分班結業,澎湖縣政府辦事員 湖西鄉公所村幹事 湖西鄉立中正圖書館管理員 湖西鄉公所秘書,,http://www.hs885.gov.tw/
099第十六屆各鄉鎮市長選舉,澎湖縣,白沙鄉,澎湖縣白沙鄉公所,陳　定國,鄉長,男,中國國民黨,(884)澎湖縣白沙鄉赤崁村366號,06-9933277,sinkboyx@Yahoo.com.tw,高職畢業,澎湖縣第十六屆縣議員,無,http://www.baisha.gov.tw/
099第十六屆各鄉鎮市長選舉,澎湖縣,西嶼鄉,澎湖縣西嶼鄉公所,楊　石龍,鄉長,男,中國國民黨,(881)澎湖縣西嶼鄉池東村4鄰小池角72號,(06)9982611-39,s01@ems.shiyeu.gov.tw,國立中山大學公務事務管理研究所學分班結業,村幹事 鄉公所秘書 鄉長,無,shiyeu.gov.tw/tw/default.aspx
099第十六屆各鄉鎮市長選舉,澎湖縣,望安鄉,澎湖縣望安鄉公所,葉　忠入,鄉長,男,無政黨,(882)澎湖縣望安鄉東安村73-7號,06-9991056,mail@mail.wangan.gov.tw,國中,澎湖縣望安鄉第15屆鄉長,,http://www.wangan.gov.tw
099第十六屆各鄉鎮市長選舉,澎湖縣,望安鄉,澎湖縣望安鄉公所,陳韻如,鄉長,女,無政黨,(882)澎湖縣望安鄉東安村73-7號,06-9991311, ,空中大學,澎湖縣政府社會處副處長,,
099第十六屆各鄉鎮市長選舉,澎湖縣,七美鄉,澎湖縣七美鄉公所,呂　立勳,鄉長,男,中國國民黨,(883)澎湖縣七美鄉中和村2鄰10號,06-9971008,c105@ems.chimi.gov.tw,馬公高中畢,第13.14.17.18屆鄉民代表,,無
098第九屆各鄉鎮市長選舉,連江縣,南竿鄉,連江縣南竿鄉公所,朱　秀平,鄉長,男,中國國民黨,(209)連江縣南竿鄉清水村清水村132號,(0836)22316-11,mail.show.pin@msa.hihet.net,台灣省立基隆高級海事職業學校畢業,1、連江縣南竿鄉第八屆鄉長 2、中華民國鄉鎮市長聯合總會副總會長 3、國立馬祖高中家長會會長 4、連江縣木球委員會主任委員 5、連江縣南竿鄉第七屆鄉民代表會主席 6、中華民國鄉鎮市民代表會聯合總會連江縣會長 7、連江縣後備軍人輔導中心主任 8、連江縣青溪協會理事長 9、連江縣計程車駕駛員工會理事長,,http://www.nankan.gov.tw/
099第十六屆各鄉鎮市長選舉,連江縣,北竿鄉,連江縣北竿鄉公所,周　瑞國,鄉長,男,中國國民黨,(210)連江縣北竿鄉塘岐村258號,(0836)55218-100,chou0405kuo@yahoo.com.tw,塘岐國小 中山國中 復興商工,塘岐社區發展協會理事長 坂里國小家長會會長 北竿鄉民代表會主席 北竿鄉義消大隊隊員 塘岐社區守望相助隊隊員 北竿文化協會理事,,http://www.beigan.gov.tw/mayor.htm
098第九屆各鄉鎮市長選舉,連江縣,莒光鄉,連江縣莒光鄉公所,柯　玉官,鄉長,男,中國國民黨,(211)連江縣莒光鄉青帆村74-2號,0836-89146,無,東莒國小，馬祖初中,福建金門地方法院書記官 板橋地方法院書記官兼科長 高雄地檢署書記官兼科長 台南高分院書記官兼科長 高雄高分院書記官兼科長 台灣高等法院書記官兼科長 最高行政法院書記官兼科長 連江縣政府機要秘書 連江縣政府秘書室主任 連江縣政府財政局長 連江縣莒光鄉公所代理鄉長,無,無
099第十六屆各鄉鎮市長選舉,連江縣,東引鄉,連江縣東引鄉公所,馮　印樂,鄉長,男,中國國民黨,(212)連江縣東引鄉中柳村121號,08-3677205,無,東海高級中學,東湧船運公司經理 　　　國內輪船公會理事 　　　東引鄉鄉民代表會主席 　　　東引文化志工召集人 　　　東引鄉廟產委員會委員 　　　東引國民中小學家長會副會長 　　　連江縣兵役委員 　　　連江縣東引義消 　　　東引鄉調解委員會委員,,http://www.dongyin.gov.tw/mayor.htm
099第十六屆各鄉鎮市長選舉,金門縣,金城鎮,金門縣金城鎮公所,石　兆瑉,鎮長,男,中國國民黨,(893)金門縣金城鎮東門里民生路2號,082-328741,jincheng@mail.kinmen.gov.tw,金城國小、金城國中、金門高中畢業、中國人民大學MBA結業,報關行外務員、貿易公司採購主任、國際青商會會長 保險公司處經理、有線電視董事長,,http://www.kinmen.gov.tw/Layout/sub_B/index.aspx?f
099第十六屆各鄉鎮市長選舉,金門縣,金沙鎮,金門縣金沙鎮公所,陳　昆第,鎮長,男,中國國民黨,(890)金門縣金沙鎮汶沙里環島東路一段112號2樓,(082)352149,a301mst@mail.kinmen.gov.tw,陸軍第三士官學校,金沙鎮公所秘書、金門縣青溪協會理事長,無,http://www.kinsha.gov.tw/
099第十六屆各鄉鎮市長選舉,金門縣,金湖鎮,金門縣金湖鎮公所,蔡　西湖,鎮長,男,中國國民黨,(891)金門縣金湖鎮新市里林森路2號,(082)332528,a201mst@mail.kinmen.gov.tw,金門高職 空大行政專科畢,金湖鎮新市里里長 金湖鎮民第八屆代表會主席 金湖鎮新市里社區發展協會理事長 金湖鎮民眾服務社理事主席 中國國民黨金湖鎮區分部常委 國立金門高職校友會理事,,http://www.kinmen.gov.tw/Layout/sub_B/index.aspx?f
099第十六屆各鄉鎮市長選舉,金門縣,金寧鄉,金門縣金寧鄉公所,陳　成勇,鄉長,男,中國國民黨,(892)金門縣金寧鄉盤山村仁愛新村1號,(082)325610,yung@mail.kinmen.gov.tw,空大行政專科,金寧鄉民代表會第八屆主席 金寧鄉民代表會第九屆代表 四埔社區發展協會第3、4屆理事長 金寧鄉民眾服務分社理事長,無,http://www.kinmen.gov.tw/Layout/sub_B/index.aspx?f
099第十六屆各鄉鎮市長選舉,金門縣,烈嶼鄉,金門縣烈嶼鄉公所,洪　成發,鄉長,男,中國國民黨,(894)金門縣烈嶼鄉林湖村西路60號,(082)364501,hung970382@mail.kinmen.gov.tw,金門縣烈嶼鄉卓環國小 金門縣烈嶼國民中學,金門縣烈嶼鄉黃埔村村長 金門縣烈嶼鄉民代表 金門縣議員,,http://www.kinmen.gov.tw/Layout/sub_B/index.aspx?f
099第十六屆各鄉鎮市長選舉,金門縣,烏坵鄉,金門縣烏坵鄉公所,陳　興坵,鄉長,男,中國國民黨,(896)金門縣烏坵鄉大坵村1號,(0826)66039,tsaijung0823@yahoo.com.tw,慈航中學,烏坵鄉民代表會,無,http://www.kinmen.gov.tw/Layout/sub_B/index.aspx?f
